run_id,table_type,table_m,hash_name,data_n,phase,metric,value
16,doublehash,2000003,mul+dh,1000000,gaps,avg,1.000003
16,doublehash,2000003,mul+dh,1000000,gaps,max,21
17,doublehash,2000003,mix+dh,100000,insert,time_ns,7454300
17,doublehash,2000003,mix+dh,100000,insert,collisions,2566
17,doublehash,2000003,mix+dh,100000,insert,memory_bytes,10388672
17,doublehash,2000003,mix+dh,100000,search,time_ns,5479000
17,doublehash,2000003,mix+dh,100000,gaps,min,0
17,doublehash,2000003,mix+dh,100000,gaps,avg,19.00003
17,doublehash,2000003,mix+dh,100000,gaps,max,215
17,doublehash,2000003,mix+dh,1000000,insert,time_ns,96083500
17,doublehash,2000003,mix+dh,1000000,insert,collisions,387110
17,doublehash,2000003,mix+dh,1000000,insert,memory_bytes,10388672
17,doublehash,2000003,mix+dh,1000000,search,time_ns,84774800
17,doublehash,2000003,mix+dh,1000000,gaps,min,0
17,doublehash,2000003,mix+dh,1000000,gaps,avg,1.000003
17,doublehash,2000003,mix+dh,1000000,gaps,max,24
18,chaining,20000027,mod,100000,insert,time_ns,10957000
18,chaining,20000027,mod,100000,insert,collisions,233
18,chaining,20000027,mod,100000,insert,memory_bytes,84686160
18,chaining,20000027,mod,100000,search,time_ns,4606100
18,chaining,20000027,mod,100000,structure,chain_top1,2
18,chaining,20000027,mod,100000,structure,chain_top2,2
18,chaining,20000027,mod,100000,structure,chain_top3,2
18,chaining,20000027,mod,100000,gaps,min,0
18,chaining,20000027,mod,100000,gaps,avg,199.4614497925145
18,chaining,20000027,mod,100000,gaps,max,2469
18,chaining,20000027,mod,1000000,insert,time_ns,59634100
18,chaining,20000027,mod,1000000,insert,collisions,25145
18,chaining,20000027,mod,1000000,insert,memory_bytes,92274736
18,chaining,20000027,mod,1000000,search,time_ns,43634300
18,chaining,20000027,mod,1000000,structure,chain_top1,4
18,chaining,20000027,mod,1000000,structure,chain_top2,4
18,chaining,20000027,mod,1000000,structure,chain_top3,4
18,chaining,20000027,mod,1000000,gaps,min,0
18,chaining,20000027,mod,1000000,gaps,avg,19.506046208329145
18,chaining,20000027,mod,1000000,gaps,max,297
18,chaining,20000027,mod,10000000,insert,time_ns,647331500
18,chaining,20000027,mod,10000000,insert,collisions,2496669
18,chaining,20000027,mod,10000000,insert,memory_bytes,167772208
18,chaining,20000027,mod,10000000,search,time_ns,593288400
18,chaining,20000027,mod,10000000,structure,chain_top1,7
18,chaining,20000027,mod,10000000,structure,chain_top2,7
18,chaining,20000027,mod,10000000,structure,chain_top3,7
18,chaining,20000027,mod,10000000,gaps,min,0
18,chaining,20000027,mod,10000000,gaps,avg,1.5408577696860024
18,chaining,20000027,mod,10000000,gaps,max,32
19,chaining,20000027,mul,100000,insert,time_ns,25076500
19,chaining,20000027,mul,100000,insert,collisions,274
19,chaining,20000027,mul,100000,insert,memory_bytes,84686160
19,chaining,20000027,mul,100000,search,time_ns,21133800
19,chaining,20000027,mul,100000,structure,chain_top1,3
19,chaining,20000027,mul,100000,structure,chain_top2,3
19,chaining,20000027,mul,100000,structure,chain_top3,2
19,chaining,20000027,mul,100000,gaps,min,0
19,chaining,20000027,mul,100000,gaps,avg,199.5440452435148
19,chaining,20000027,mul,100000,gaps,max,2293
19,chaining,20000027,mul,1000000,insert,time_ns,207293600
19,chaining,20000027,mul,1000000,insert,collisions,27559
19,chaining,20000027,mul,1000000,insert,memory_bytes,92274736
19,chaining,20000027,mul,1000000,search,time_ns,197557100
19,chaining,20000027,mul,1000000,structure,chain_top1,4
19,chaining,20000027,mul,1000000,structure,chain_top2,4
19,chaining,20000027,mul,1000000,structure,chain_top3,4
19,chaining,20000027,mul,1000000,gaps,min,0
19,chaining,20000027,mul,1000000,gaps,avg,19.55579925608529
19,chaining,20000027,mul,1000000,gaps,max,338
19,chaining,20000027,mul,10000000,insert,time_ns,2228876000
19,chaining,20000027,mul,10000000,insert,collisions,2774937
19,chaining,20000027,mul,10000000,insert,memory_bytes,167772208
19,chaining,20000027,mul,10000000,search,time_ns,2352822400
19,chaining,20000027,mul,10000000,structure,chain_top1,9
19,chaining,20000027,mul,10000000,structure,chain_top2,8
19,chaining,20000027,mul,10000000,structure,chain_top3,8
19,chaining,20000027,mul,10000000,gaps,min,0
19,chaining,20000027,mul,10000000,gaps,avg,1.5999803181696575
19,chaining,20000027,mul,10000000,gaps,max,34
20,chaining,20000027,mix,100000,insert,time_ns,11490800
20,chaining,20000027,mix,100000,insert,collisions,253
20,chaining,20000027,mix,100000,insert,memory_bytes,82589056
20,chaining,20000027,mix,100000,search,time_ns,9615900
20,chaining,20000027,mix,100000,structure,chain_top1,3
